,1000,10000,100000
Завдання 1,,,
D,1.017146401003352,0.5818712592233433,1.2366669014583178
Результат для lambda = 1,false,false,false
D2,6.248723901385254,19.001761130258423,60.020591604192944
Завдання 2,,,
XI_sqr,17.70836618,259.9453829,2872.758544
lambda == 1,6.648317981810346,138.3943460210601,3325.8640087054832
RES_2_1,H0,H0,False
lambda == 1.3,422.5217814438616,2259.439899803671,28251.251463978446
RES_2_2,False,False,False
Завдання 3,,,
mu 1,77,661,6708
k_gamma 1,78.09582983517387,709.6532428172949,6871.04604399931
RES,H0,H0,H0
mu 1.2,86,763,7483
k_gamma 1.3,78.09582983517387,709.6532428172949,6871.04604399931
RES2,False,False,False
Завдання 4,,,
lambda: 1,0.06699999999999995,0.010199999999999987,0.003470000000000001
Crit,0.0744902678207026,0.02355589098293673,0.00744902678207026
RES,H0,H0,H0
Завдання 4,,,
lambda: 1.2,0.121,0.09899999999999998,0.09883000000000008
Crit,0.0744902678207026,0.02355589098293673,0.00744902678207026
RES,False,False,False
